name,economy (mpg),cylinders,displacement (cc),power (hp),weight (lb)
AMC Ambassador Brougham,13,8,360,175,3821
AMC Ambassador DPL,15,8,390,190,3850
AMC Ambassador SST,17,8,304,150,3672
AMC Concord DL 6,20.2,6,232,90,3265
AMC Concord DL,18.1,6,258,120,3410
AMC Concord,19.4,6,232,90,3210
AMC Concord,24.3,4,151,90,3003
AMC Gremlin,18,6,232,100,2789
AMC Gremlin,19,6,232,100,2634
AMC Gremlin,20,6,232,100,2914
AMC Gremlin,21,6,199,90,2648
AMC Hornet Sportabout (Wagon),18,6,258,110,2962
AMC Hornet,18,6,199,97,2774
AMC Hornet,18,6,232,100,2945
AMC Hornet,19,6,232,100,2901
AMC Hornet,22.5,6,232,90,3085
AMC Matador (Wagon),14,8,304,150,4257
AMC Matador (Wagon),15,8,304,150,3892
AMC Matador,14,8,304,150,3672
AMC Matador,15,6,258,110,3730
AMC Matador,15.5,8,304,120,3962
AMC Matador,16,6,258,110,3632
AMC Matador,18,6,232,100,3288
AMC Pacer D/L,17.5,6,258,95,3193
