name,economy (mpg),cylinders,displacement (cc),power (hp),weight (lb),0-60 mph (s)
AMC Ambassador Brougham,13,8,360,175,3821,11
AMC Ambassador DPL,15,8,390,190,3850,8.5
AMC Ambassador SST,17,8,304,150,3672,11.5
AMC Concord DL 6,20.2,6,232,90,3265,18.2
AMC Concord DL,18.1,6,258,120,3410,15.1
AMC Concord,19.4,6,232,90,3210,17.2
AMC Concord,24.3,4,151,90,3003,20.1
AMC Gremlin,18,6,232,100,2789,15
AMC Gremlin,19,6,232,100,2634,13
AMC Gremlin,20,6,232,100,2914,16
AMC Gremlin,21,6,199,90,2648,15
AMC Hornet Sportabout (Wagon),18,6,258,110,2962,13.5
AMC Hornet,18,6,199,97,2774,15.5
AMC Hornet,18,6,232,100,2945,16
AMC Hornet,19,6,232,100,2901,16
AMC Hornet,22.5,6,232,90,3085,17.6
AMC Matador (Wagon),14,8,304,150,4257,15.5
AMC Matador (Wagon),15,8,304,150,3892,12.5
AMC Matador,14,8,304,150,3672,11.5
AMC Matador,15,6,258,110,3730,19
AMC Matador,15.5,8,304,120,3962,13.9
AMC Matador,16,6,258,110,3632,18
AMC Matador,18,6,232,100,3288,15.5
AMC Pacer D/L,17.5,6,258,95,3193,17.8
AMC Pacer,19,6,232,90,3211,17
AMC Rebel SST,16,8,304,150,3433,12
AMC Spirit DL,27.4,4,121,80,2670,15
Audi 100 LS,20,4,114,91,2582,14
Audi 100 LS,23,4,115,95,2694,15
Audi 100 LS,24,4,107,90,2430,14.5
Audi 4000,34.3,4,97,78,2188,15.8
Audi 5000,20.3,5,131,103,2830,15.9
Audi 5000S (Diesel),36.4,5,121,67,2950,19.9
Audi Fox,29,4,98,83,2219,16.5
BMW 2002,26,4,121,113,2234,12.5
BMW 320i,21.5,4,121,110,2600,12.8
